gen,fit,cross,rec,size,wires
455,-0.140625,44,3,9,52
456,-0.140625,44,3,9,52
457,-0.140625,44,3,9,52
458,-0.140625,44,3,9,52
459,-0.140625,44,3,9,52
460,-0.140625,44,3,9,52
461,-0.140625,44,3,9,52
462,-0.140625,44,3,9,52
463,-0.140625,44,3,9,52
464,-0.140625,44,3,9,52
465,-0.140625,44,3,9,52
466,-0.140625,44,3,9,52
467,-0.140625,44,3,9,52
468,-0.140625,44,3,9,52
469,-0.140625,44,3,9,52
470,-0.140625,44,3,9,52
471,-0.140625,44,3,9,52
472,-0.140625,44,3,9,52
473,-0.125000,42,4,9,51
474,-0.125000,42,4,9,51
475,-0.125000,42,4,9,51
476,-0.125000,42,4,9,51
477,-0.125000,42,4,9,51
478,-0.125000,42,4,9,51
479,-0.125000,42,4,9,51
480,-0.125000,42,4,9,51
481,-0.125000,42,4,9,51
482,-0.125000,42,4,9,51
483,-0.125000,42,4,9,51
484,-0.125000,42,4,9,51
485,-0.125000,42,4,9,51
486,-0.125000,42,4,9,51
487,-0.125000,42,4,9,51
488,-0.125000,42,4,9,51
489,-0.125000,42,4,9,51
490,-0.125000,42,4,9,51
491,-0.125000,42,4,9,51
492,-0.125000,42,4,9,51
493,-0.125000,42,4,9,51
494,-0.125000,42,4,9,51
495,-0.125000,42,4,9,51
496,-0.125000,42,4,9,51
497,-0.125000,42,4,9,51
498,-0.125000,42,4,9,51
499,-0.125000,42,4,9,51
500,-0.125000,42,4,9,51
501,-0.125000,42,4,9,51
502,-0.125000,42,4,9,51
503,-0.125000,42,4,9,51
504,-0.125000,42,4,9,51
505,-0.125000,42,4,9,51
506,-0.125000,42,4,9,51
507,-0.125000,42,4,9,51
508,-0.125000,42,4,9,51
509,-0.125000,42,4,9,51
510,-0.125000,42,4,9,51
511,-0.125000,42,4,9,51
512,-0.125000,42,4,9,51
513,-0.125000,42,4,9,51
514,-0.125000,42,4,9,51
515,-0.125000,42,4,9,51
516,-0.125000,42,4,9,51
517,-0.125000,42,4,9,51
518,-0.125000,42,4,9,51
519,-0.125000,42,4,9,51
520,-0.125000,42,4,9,51
521,-0.125000,42,4,9,51
522,-0.125000,42,4,9,51
523,-0.125000,42,4,9,51
524,-0.125000,42,4,9,51
525,-0.125000,42,4,9,51
526,-0.125000,42,4,9,51
527,-0.125000,42,4,9,51
528,-0.125000,42,4,9,51
529,-0.125000,42,4,9,51
530,-0.125000,42,4,9,51
531,-0.125000,42,4,9,51
532,-0.125000,42,4,9,51
533,-0.125000,42,4,9,51
534,-0.125000,42,4,9,51
535,-0.125000,42,4,9,51
536,-0.125000,42,4,9,51
537,-0.125000,42,4,9,51
538,-0.125000,42,4,9,51
539,-0.125000,42,4,9,51
540,-0.125000,42,4,9,51
541,-0.125000,42,4,9,51
542,-0.125000,42,4,9,51
543,-0.125000,42,4,9,51
544,-0.125000,42,4,9,51
545,-0.125000,42,4,9,51
546,-0.125000,42,4,9,51
547,-0.125000,42,4,9,51
548,-0.125000,42,4,9,51
549,-0.125000,42,4,9,51
550,-0.125000,42,4,9,51
551,-0.125000,42,4,9,51
552,-0.125000,42,4,9,51
553,-0.125000,42,4,9,51
554,-0.125000,42,4,9,51
555,-0.125000,42,4,9,51
556,-0.125000,42,4,9,51
